Date,Open,High,Low,Close,Adj Close,Volume
2026-02-02,336.11,344.71,335.57,344.45,344.45,22775200
2026-02-03,348.06,349.69,338.15,340.26,340.26,25786500
2026-02-04,343.31,343.8,328.94,332.9,332.9,36991100
2026-02-05,312.79,332.21,306.52,330.9,330.9,51842000
2026-02-06,326.92,330.21,319.73,322.68,322.68,33877000
2026-02-09,320.82,327.31,317.29,323.98,323.98,26103300
2026-02-10,320.49,321.21,314.25,318.21,318.21,25281900
2026-02-11,318.54,320.63,309.73,310.92,310.92,24008100
2026-02-12,311.94,316.07,307.75,308.97,308.97,28194000
2026-02-13,307.58,308.49,303.5,305.62,305.62,20236000
2026-02-17,300.25,304.49,296.51,302.42,302.42,23750800
2026-02-18,302.04,305.51,301.59,303.54,303.54,15847700
2026-02-19,302.13,305.63,300.28,303.16,303.16,13448600
2026-02-20,304.4,316.35,304.02,314.49,314.49,33663100
2026-02-23,318.72,319.04,309.59,311.28,311.28,17641200
2026-02-24,310.23,311.96,305.69,310.51,310.51,15040700
2026-02-25,311.71,313.25,308.96,312.62,312.62,20209100
2026-02-26,312.4,312.59,302.02,306.75,306.75,22380000
2026-02-27,303.54,311.67,303.19,311.02,311.02,33389200
2026-03-02,302.57,307.74,300.67,305.96,305.96,21854400
2026-03-03,298.03,303.54,296.31,303.16,303.16,20361100
2026-03-04,302.29,305.06,300.41,303.05,303.05,20015600
2026-03-05,302.8,302.97,297.68,300.52,300.52,22643900
2026-03-06,295.69,299.94,294.86,297.91,297.91,17598000
2026-03-09,293.96,306.32,293.75,305.83,305.83,19632700
2026-03-10,305.69,308.96,305.13,306.75,306.75,14386400
2026-03-11,306.12,310.88,305.66,308.23,308.23,13376700
2026-03-12,306.03,308.45,300.66,303.03,303.03,15610200
2026-03-13,306.47,307.08,299.6,301.28,301.28,16857500
2026-03-16,303.42,305.39,301.63,304.24,304.24,14822000
2026-03-17,304.49,309.86,304.17,309.22,309.22,14423600
2026-03-18,307.72,310.56,305.36,306.12,306.12,13848400
2026-03-19,303.03,306.5,300.82,305.55,305.55,15399700
2026-03-20,303.89,304.19,296.57,298.61,298.61,34763500
2026-03-23,300.35,303.19,297.85,298.84,298.84,22204100
2026-03-24,296.03,296.92,288.68,289.03,289.03,27411200
2026-03-25,291.97,294.48,287.2,289.42,289.42,22343000
2026-03-26,286.02,286.34,278.88,280.57,280.57,29281200
2026-03-27,277.23,278.92,273.32,273.6,273.6,25703300
2026-03-30,275.27,276.09,271.37,272.98,272.98,22752300
2026-03-31,277.37,286.88,276.59,286.69,286.69,31625100
2026-04-01,289.81,297.81,289.3,294.72,294.72,24403600
2026-04-02,288.82,295.72,287.4,294.28,294.28,13433400
2026-04-06,294.52,298.25,293.61,297.48,297.48,10121700
2026-04-07,299.96,303.92,295.25,303.75,303.75,17317700
2026-04-08,317.64,319.2,312.52,314.55,314.55,20887500
2026-04-09,313.0,317.24,309.28,316.18,316.18,14606800
2026-04-10,318.03,319.31,314.35,315.53,315.53,11997600
2026-04-13,315.23,319.24,313.5,319.02,319.02,12212800
2026-04-14,321.87,330.44,320.96,330.38,330.38,18557500
2026-04-15,330.36,334.8,328.46,334.27,334.27,15104100
2026-04-16,335.65,337.18,331.45,332.57,332.57,13949600
2026-04-17,334.23,339.78,333.09,339.2,339.2,19683800
2026-04-20,338.36,338.96,334.43,335.2,335.2,12897300
2026-04-21,335.38,336.97,329.43,330.27,330.27,14623800
2026-04-22,334.68,337.83,332.76,337.53,337.53,12954200
2026-04-23,339.37,339.96,334.86,337.55,337.55,13442100
2026-04-24,337.52,343.48,333.85,342.11,342.11,18260900
2026-04-27,343.67,350.69,340.61,348.31,348.31,17443000
2026-04-28,346.71,349.69,344.07,347.29,347.29,18502300
2026-04-29,345.27,353.19,342.22,347.1,347.1,22232200
2026-04-30,371.03,382.4,362.87,381.71,381.71,44570500
2026-05-01,377.75,383.16,375.03,382.99,382.99,28047900
2026-05-04,382.09,383.95,376.54,379.41,379.41,18275000
2026-05-05,381.64,388.73,380.12,384.04,384.04,15432500
2026-05-06,389.36,396.14,386.87,394.9,394.9,23097300
2026-05-07,396.82,397.12,390.08,395.06,395.06,15153600
2026-05-08,394.03,398.13,393.43,396.81,396.81,13762500
2026-05-11,390.46,394.09,386.0,386.54,386.54,16314900
2026-05-12,384.77,386.21,379.49,383.59,383.59,17103900
2026-05-13,381.68,399.69,381.35,398.8,398.8,18160100
2026-05-14,393.55,398.86,392.49,396.93,396.93,13805400
2026-05-15,392.98,395.64,389.53,393.08,393.08,15801900
2026-05-18,391.89,404.23,390.66,392.87,392.87,18592800
2026-05-19,393.06,393.13,382.77,384.67,384.67,25559400
2026-05-20,384.81,390.47,379.77,384.67,384.67,16488100
2026-05-21,381.78,388.45,379.25,383.24,383.24,16837600
2026-05-22,383.03,384.64,378.03,379.15,379.15,13382800
2026-05-26,380.77,385.16,378.91,384.61,384.61,16150900
2026-05-27,382.53,389.49,381.77,384.6,384.6,16893100
2026-05-28,383.63,389.77,381.02,385.89,385.89,20795400
2026-05-29,381.0,381.42,374.07,376.2,376.2,48018600
2026-06-01,372.35,374.37,369.49,372.36,372.36,19091900
2026-06-02,362.94,369.57,354.79,358.17,358.17,34648600
2026-06-03,358.12,362.28,354.17,355.47,355.47,43031000
2026-06-04,355.23,369.64,354.59,369.05,369.05,37746200
2026-06-05,363.16,368.98,361.41,365.54,365.54,23411500
2026-06-08,362.48,363.38,357.89,361.17,361.17,18739000
2026-06-09,364.89,369.69,354.72,362.29,362.29,19873600
2026-06-10,361.05,366.31,352.81,353.32,353.32,19878600
2026-06-11,353.05,358.01,343.63,356.56,356.56,28771800
2026-06-12,361.1,364.77,353.34,358.16,358.16,17637100
2026-06-15,365.99,370.65,364.65,367.11,367.11,17268600
2026-06-17,367.01,370.1,360.78,362.6,362.6,4516298
